[27/Feb/2026 15:51:57] {'temperature': 21.03, 'altitude': -16.62, 'voltage': 7.4, 'latitude': 38.83578, 'longitude': -77.4049, 'acceleration': {'z': 1.077, 'y': -0.09099999, 'x': -0.198}}
[27/Feb/2026 15:51:58] {'temperature': 21.12, 'altitude': -16.56, 'voltage': 7.4, 'latitude': 38.83578, 'longitude': -77.40491, 'acceleration': {'z': 1.067, 'y': -0.088, 'x': -0.187}}
[27/Feb/2026 15:51:59] {'temperature': 21.25, 'altitude': -16.61, 'voltage': 7.4, 'latitude': 38.83578, 'longitude': -77.40491, 'acceleration': {'z': 1.062, 'y': -0.084, 'x': -0.194}}
[27/Feb/2026 15:52:00] {'temperature': 21.35, 'altitude': -17.08, 'voltage': 7.4, 'latitude': 38.83578, 'longitude': -77.40491, 'acceleration': {'z': 1.074, 'y': -0.09099999, 'x': -0.194}}
[27/Feb/2026 15:52:01] {'temperature': 21.47, 'altitude': -17.09, 'voltage': 7.4, 'latitude': 38.83578, 'longitude': -77.40491, 'acceleration': {'z': 1.067, 'y': -0.08200001, 'x': -0.192}}
[27/Feb/2026 15:52:02] {'temperature': 21.63, 'altitude': -17.3, 'voltage': 7.4, 'latitude': 38.83578, 'longitude': -77.40491, 'acceleration': {'z': 1.076, 'y': -0.078, 'x': -0.191}}
[27/Feb/2026 15:52:03] {'temperature': 21.76, 'altitude': -17.37, 'voltage': 7.4, 'latitude': 38.83578, 'longitude': -77.40491, 'acceleration': {'z': 1.076, 'y': -0.085, 'x': -0.191}}
[27/Feb/2026 15:52:04] {'temperature': 21.88, 'altitude': -17.78, 'voltage': 7.4, 'latitude': 38.83578, 'longitude': -77.40491, 'acceleration': {'z': 1.072, 'y': -0.087, 'x': -0.198}}
[27/Feb/2026 15:52:05] {'temperature': 22.02, 'altitude': -17.1, 'voltage': 7.4, 'latitude': 38.83578, 'longitude': -77.40491, 'acceleration': {'z': 1.076, 'y': -0.088, 'x': -0.194}}
[27/Feb/2026 15:52:06] {'temperature': 22.15, 'altitude': -17.59, 'voltage': 7.4, 'latitude': 38.83578, 'longitude': -77.40491, 'acceleration': {'z': 1.078, 'y': -0.088, 'x': -0.193}}
[27/Feb/2026 15:52:07] {'temperature': 22.25, 'altitude': -17.29, 'voltage': 7.4, 'latitude': 38.83578, 'longitude': -77.40491, 'acceleration': {'z': 1.076, 'y': -0.09099999, 'x': -0.193}}
[27/Feb/2026 15:52:08] {'temperature': 22.37, 'altitude': -17.41, 'voltage': 7.4, 'latitude': 38.83577, 'longitude': -77.40491, 'acceleration': {'z': 1.072, 'y': -0.084, 'x': -0.191}}
[27/Feb/2026 15:52:09] {'temperature': 22.52, 'altitude': -17.92, 'voltage': 7.4, 'latitude': 38.83577, 'longitude': -77.40491, 'acceleration': {'z': 1.062, 'y': -0.08200001, 'x': -0.196}}
[27/Feb/2026 15:52:10] {'temperature': 22.61, 'altitude': -18.36, 'voltage': 7.4, 'latitude': 38.83577, 'longitude': -77.40491, 'acceleration': {'z': 1.07, 'y': -0.088, 'x': -0.192}}
