[27/Dec/2025 19:34:32] {'temperature': 23.07, 'altitude': 1.17, 'voltage': 7.4, 'latitude': 38.83585, 'longitude': -77.40493, 'acceleration': {'z': 1.088, 'y': -0.026, 'x': 0.055}}
[27/Dec/2025 19:34:33] {'temperature': 23.14, 'altitude': 1.49, 'voltage': 7.4, 'latitude': 38.83585, 'longitude': -77.40493, 'acceleration': {'z': 1.097, 'y': -0.023, 'x': 0.053}}
[27/Dec/2025 19:34:36] {'temperature': 23.29, 'altitude': 1.16, 'voltage': 7.4, 'latitude': 38.83585, 'longitude': -77.40493, 'acceleration': {'z': 1.099, 'y': -0.022, 'x': 0.054}}
[27/Dec/2025 19:34:38] {'temperature': 23.35, 'altitude': 1.49, 'voltage': 7.4, 'latitude': 38.83585, 'longitude': -77.40493, 'acceleration': {'z': 1.098, 'y': -0.022, 'x': 0.054}}
[27/Dec/2025 19:34:43] {'temperature': 23.55, 'altitude': 1.22, 'voltage': 7.4, 'latitude': 38.83586, 'longitude': -77.40493, 'acceleration': {'z': 1.102, 'y': -0.016, 'x': 0.053}}
[27/Dec/2025 19:34:44] {'temperature': 23.62, 'altitude': 0.82, 'voltage': 7.4, 'latitude': 38.83586, 'longitude': -77.40493, 'acceleration': {'z': 1.093, 'y': -0.018, 'x': 0.051}}
[27/Dec/2025 19:34:46] {'temperature': 23.68, 'altitude': 0.61, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40493, 'acceleration': {'z': 1.093, 'y': -0.022, 'x': 0.058}}
[27/Dec/2025 19:34:47] {'temperature': 23.74, 'altitude': 0.99, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40493, 'acceleration': {'z': 1.095, 'y': -0.019, 'x': 0.055}}
[27/Dec/2025 19:34:49] {'temperature': 23.8, 'altitude': 1.16, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40493, 'acceleration': {'z': 1.092, 'y': -0.027, 'x': 0.056}}
[27/Dec/2025 19:34:55] {'temperature': 24.05, 'altitude': 1.74, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40493, 'acceleration': {'z': 1.094, 'y': -0.016, 'x': 0.053}}
[27/Dec/2025 19:34:57] {'temperatureleration': {'z': 1.102, 'y': -0.021, 'x': 0.063}}
[27/Dec/2025 19:34:58] {'temperature': 24.17, 'altitude': 1.57, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40493, 'acceleration': {'z': 1.097, 'y': -0.025, 'x': 0.052}}
[27/Dec/2025 19:35:00] {'temperature': 24.23, 'altitude': 1.94, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40493, 'acceleration': {'z': 1.097, 'y': -0.021, 'x': 0.057}}
[27/Dec/2025 19:35:01] {'temperature': 24.28, 'altitude': 2.38, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40493, 'acceleration': {'z': 1.099, 'y': -0.027, 'x': 0.054}}
[27/Dec/2025 19:35:03] {'temperature': 24.33, 'altitude': 1.9, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40493, 'acceleration': {'z': 1.092, 'y': -0.023, 'x': 0.052}}
[27/Dec/2025 19:35:04] {'temperature': 24.38, 'altitude': 1.96, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40492, 'acceleration': {'z': 1.094, 'y': -0.022, 'x': 0.061}}
[27/Dec/2025 19:35:06] {'temperature': 24.43, 'altitude': 1.63, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40492, 'acceleration': {'z': 1.103, 'y': -0.025, 'x': 0.053}}
[27/Dec/2025 19:35:09] {'temperature': 24.54, 'altitude': 1.15, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40492, 'acceleration': {'z': 1.096, 'y': -0.018, 'x': 0.054}}
[27/Dec/2025 19:35:10] {'temperature': 24.6, 'altitude': 1.41, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40492, 'acceleration': {'z': 1.1, 'y': -0.021, 'x': 0.054}}
[27/Dec/2025 19:35:15] {'temperature': 24.74, 'altitude': 2.39, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40492, 'acceleration': {'z': 1.093, 'y': -0.026, 'x': 0.05}}
[27/Dec/2025 19:35:17] {'temperature': 24.8, 'altitude': 1.88, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40491, 'acceleration': {'z': 1.092, 'y': -0.022, 'x': 0.054}}
[27/Dec/2025 19:35:20] {'temperature': 24.9, 'altitude': 1.67, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40491, 'acceleration': {'z': 1.095, 'y': -0.027, 'x': 0.053}}
[27/Dec/2025 19:35:21] {'temperature': 24.94, 'altitude': 1.96, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40491, 'acceleration': {'z': 1.096, 'y': -0.014, 'x': 0.062}}
[27/Dec/2025 19:35:23] {'temperature': 24.98, 'altitude': 1.7, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40491, 'acceleration': {'z': 1.097, 'y': -0.026, 'x': 0.062}}
[27/Dec/2025 19:35:24] {'temperature': 25.03, 'altitude': 1.43, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40491, 'acceleration': {'z': 1.091, 'y': -0.024, 'x': 0.054}}
[27/Dec/2025 19:35:53] {'temperature': 25.78, 'altitude': 1.31, 'voltage': 7.4, 'latitude': 38.83589, 'longitude': -77.40491, 'acceleration': {'z': 1.094, 'y': -0.02, 'x': 0.058}}
[27/Dec/2025 19:35:54] {'temperature': 25.81, 'altitude': 1.47, 'voltage': 7.4, 'latitude': 38.83589, 'longitude': -77.40491, 'acceleration': {'z': 1.096, 'y': -0.015, 'x': 0.051}}
[27/Dec/2025 19:36:27] {'temperature': 26.45, 'altitude': 2.6, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40488, 'acceleration': {'z': 1.095, 'y': -0.022, 'x': 0.056}}
[27/Dec/2025 19:36:45] {'temperature': 26.72, 'altitude': 1.47, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40486, 'acceleration': {'z': 1.087, 'y': -0.027, 'x': 0.054}}
