[29/Mar/2025 20:32:46] {'latitude': 38.8359, 'longitude': -77.405, 'altitude': -0.3, 'pressure': 100475.5, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': -1.3, 'y_rotation': 0.8, 'z_rotation': 1.2, 'temperature': 26.1, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[29/Mar/2025 20:32:50] {'latitude': 38.8359, 'longitude': -77.405, 'altitude': -0.2, 'pressure': 100476, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': -1.4, 'y_rotation': 0.7, 'z_rotation': 1.1, 'temperature': 26.1, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[29/Mar/2025 20:32:52] {'latitude': 38.8359, 'longitude': -77.405, 'altitude': -0.7, 'pressure': 100476.8, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': -1.4, 'y_rotation': 0.8, 'z_rotation': 0.8, 'temperature': 26.1, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[29/Mar/2025 20:32:54] {'latitude': 38.8359, 'longitude': -77.405, 'altitude': -0.9, 'pressure': 100477.1, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': -1.4, 'y_rotation': 0.8, 'z_rotation': 1.4, 'temperature': 26.1, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[29/Mar/2025 20:32:58] {'latitude': 38.8359, 'longitude': -77.405, 'altitude': -0.3, 'pressure': 100475.5, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': -1.4, 'y_rotation': 0.6, 'z_rotation': 1, 'temperature': 26.1, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[29/Mar/2025 20:32:59] {'latitude': 38.8359, 'longitude': -77.405, 'altitude': -0.9, 'pressure': 100477.1, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': -1.3, 'y_rotation': 0.9, 'z_rotation': 1.2, 'temperature': 26.1, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[29/Mar/2025 20:33:01] {'latitude': 38.8359, 'longitude': -77.405, 'altitude': -0.7, 'pressure': 100478.1, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': -4.8, 'y_rotation': -4.7, 'z_rotation': 10.4, 'temperature': 26.2, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[29/Mar/2025 20:33:02] {'latitude': 38.8359, 'longitude': -77.405, 'altitude': -0.2, 'pressure': 100477.6, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0.8, 'y_rotation': 3.2, 'z_rotation': 1.2, 'temperature': 26.2, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[29/Mar/2025 20:33:04] {'latitude': 38.8359, 'longitude': -77.405, 'altitude': -0.1, 'pressure': 100476.2, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': -1.3, 'y_rotation': 0.9, 'z_rotation': 1.1, 'temperature': 26.2, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[29/Mar/2025 20:33:08] {'latitude': 38.8359, 'longitude': -77.405, 'altitude': -0.2, 'pressure': 100476.7, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': -1.5, 'y_rotation': 0.6, 'z_rotation': 1.2, 'temperature': 26.2, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
