[02/Jan/2026 17:59:21] {'temperature': 29.24, 'altitude': 2.5, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.40501, 'acceleration': {'z': 1.067, 'y': 0.181, 'x': -0.14}}
[02/Jan/2026 17:59:23] {'temperature': 29.26, 'altitude': 2.92, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.405, 'acceleration': {'z': 1.103, 'y': 0.122, 'x': -0.171}}
[02/Jan/2026 17:59:27] {'temperature': 29.17, 'altitude': 3.57, 'voltage': 7.4, 'latitude': 38.83582, 'longitude': -77.40499, 'acceleration': {'z': 1.003, 'y': 0.175, 'x': 0.077}}
[02/Jan/2026 17:59:33] {'temperature': 29.16, 'altitude': 2.71, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.40498, 'acceleration': {'z': 1.097, 'y': 0.01, 'x': 0.044}}
[02/Jan/2026 17:59:35] {'temperature': 29.18, 'altitude': 2.98, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40496, 'acceleration': {'z': 1.102, 'y': 0.018, 'x': 0.036}}
[02/Jan/2026 17:59:38] {'temperature': 29.14, 'altitude': 3, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40495, 'acceleration': {'z': 1.091, 'y': 0.034, 'x': 0.062}}
[02/Jan/2026 17:59:39] {'temperature': 29.13, 'altitude': 3.24, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40492, 'acceleration': {'z': 1.052, 'y': 0.178, 'x': 0.139}}
[02/Jan/2026 17:59:42] {'temperature': 29.22, 'altitude': 2.4, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40492, 'acceleration': {'z': 1.124, 'y': 0.031, 'x': 0.021}}
[02/Jan/2026 17:59:43] {'temperature': 29.21, 'altitude': 2.46, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.4049, 'acceleration': {'z': 1.099, 'y': 0.004, 'x': 0.02}}
[02/Jan/2026 17:59:45] {'temperature': 29.2, 'altitude': 2.67, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40488, 'acceleration': {'z': 1.089, 'y': 0.003, 'x': 0.037}}
[02/Jan/2026 17:59:46] {'temperature': 29.21, 'altitude': 2.61, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40488, 'acceleration': {'z': 1.1, 'y': 0.015, 'x': 0.034}}
[02/Jan/2026 17:59:48] {'temperature': 29.25, 'altitude': 2.82, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40488, 'acceleration': {'z': 1.095, 'y': 0.008000001, 'x': 0.031}}
[02/Jan/2026 17:59:54] {'temperature': 29.34, 'altitude': 2.54, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40487, 'acceleration': {'z': 1.102, 'y': -0.001, 'x': 0.042}}
[02/Jan/2026 17:59:56] {'temperature': 29.4, 'altitude': 2.48, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40487, 'acceleration': {'z': 1.094, 'y': -0.014, 'x': 0.041}}
[02/Jan/2026 17:59:58] {'temperature': 29.38, 'altitude': 2.91, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40487, 'acceleration': {'z': 1.099, 'y': -0.01, 'x': 0.043}}
[02/Jan/2026 18:00:00] {'temperature': 29.4, 'altitude': 2.07, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40486, 'acceleration': {'z': 1.076, 'y': -0.015, 'x': 0.045}}
[02/Jan/2026 18:00:03] {'temperature': 29.45, 'altitude': 2.64, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40486, 'acceleration': {'z': 1.093, 'y': -0.018, 'x': 0.037}}
