[23/Nov/2024 12:11:01] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -0.5, 'pressure': 99620.3, 'x_rotation': -0.6, 'y_rotation': 0.1, 'z_rotation': 1.2, 'temperature': 23.7, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:02] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -0.5, 'pressure': 99619.9, 'x_rotation': -0.1, 'y_rotation': 0.6, 'z_rotation': 1.2, 'temperature': 23.7, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:02] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -0.4, 'pressure': 99618.3, 'x_rotation': 0.3, 'y_rotation': 0.6, 'z_rotation': 1.1, 'temperature': 23.6, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:03] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -0.6, 'pressure': 99619.9, 'x_rotation': 0.3, 'y_rotation': 0.7, 'z_rotation': 1.1, 'temperature': 23.6, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:04] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -0.4, 'pressure': 99618.4, 'x_rotation': 0.1, 'y_rotation': 0.6, 'z_rotation': 0.8, 'temperature': 23.6, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:04] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -0.3, 'pressure': 99617.5, 'x_rotation': -0.1, 'y_rotation': 0.5, 'z_rotation': 1.1, 'temperature': 23.6, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:05] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -0.3, 'pressure': 99618.1, 'x_rotation': -0.1, 'y_rotation': 0.5, 'z_rotation': 1, 'temperature': 23.6, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:06] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -0.2, 'pressure': 99616.6, 'x_rotation': 0.1, 'y_rotation': 0.3, 'z_rotation': 1.2, 'temperature': 23.6, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:06] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': 0.1, 'pressure': 99612.8, 'x_rotation': 0.1, 'y_rotation': 0.4, 'z_rotation': 1.3, 'temperature': 23.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:07] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': 0, 'pressure': 99613.5, 'x_rotation': 0, 'y_rotation': 0.8, 'z_rotation': 0.9, 'temperature': 23.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:08] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': 0.1, 'pressure': 99613.3, 'x_rotation': 0.1, 'y_rotation': 0.8, 'z_rotation': 0.9, 'temperature': 23.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:08] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': 0.2, 'pressure': 99611.9, 'x_rotation': 0.2, 'y_rotation': 0.8, 'z_rotation': 0.9, 'temperature': 23.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:09] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': 0.1, 'pressure': 99612.3, 'x_rotation': -0.2, 'y_rotation': 1, 'z_rotation': -0.3, 'temperature': 23.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:09] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': 0, 'pressure': 99614.4, 'x_rotation': 0, 'y_rotation': 1, 'z_rotation': 0, 'temperature': 23.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
