[03/Mar/2026 19:32:13] {'temperature': 21.71, 'altitude': -0.07, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.09, 'y': 0.02, 'x': 0.159}}
[03/Mar/2026 19:32:14] {'temperature': 21.71, 'altitude': -0.29, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.089, 'y': 0.02, 'x': 0.159}}
[03/Mar/2026 19:32:15] {'temperature': 21.72, 'altitude': 0.04, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.089, 'y': 0.017, 'x': 0.157}}
[03/Mar/2026 19:32:16] {'temperature': 21.72, 'altitude': 0.02, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.085, 'y': 0.014, 'x': 0.16}}
[03/Mar/2026 19:32:17] {'temperature': 21.73, 'altitude': 0.17, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.092, 'y': 0.017, 'x': 0.155}}
[03/Mar/2026 19:32:18] {'temperature': 21.74, 'altitude': 0.44, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.088, 'y': 0.008000001, 'x': 0.157}}
[03/Mar/2026 19:32:19] {'temperature': 21.75, 'altitude': -0.18, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.084, 'y': 0.022, 'x': 0.161}}
[03/Mar/2026 19:32:20] {'temperature': 21.76, 'altitude': 0.16, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.094, 'y': 0.016, 'x': 0.156}}
[03/Mar/2026 19:32:21] {'temperature': 21.76, 'altitude': -0.05, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.079, 'y': 0.017, 'x': 0.159}}
[03/Mar/2026 19:32:22] {'temperature': 21.77, 'altitude': -0.63, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.079, 'y': 0.02, 'x': 0.159}}
[03/Mar/2026 19:32:23] {'temperature': 21.81, 'altitude': -0.85, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.09, 'y': 0.02, 'x': 0.158}}
[03/Mar/2026 19:32:24] {'temperature': 21.81, 'altitude': -0.92, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.055, 'y': 0.02, 'x': 0.161}}
[03/Mar/2026 19:32:25] {'temperature': 21.82, 'altitude': -0.22, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.089, 'y': 0.02, 'x': 0.158}}
[03/Mar/2026 19:32:26] {'temperature': 21.83, 'altitude': -0.48, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.096, 'y': 0.019, 'x': 0.155}}
[03/Mar/2026 19:32:27] {'temperature': 21.83, 'altitude': -0.14, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.085, 'y': 0.015, 'x': 0.155}}
[03/Mar/2026 19:32:28] {'temperature': 21.84, 'altitude': 0.16, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.083, 'y': 0.017, 'x': 0.155}}
[03/Mar/2026 19:32:29] {'temperature': 21.85, 'altitude': -0.05, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.08, 'y': 0.013, 'x': 0.161}}
[03/Mar/2026 19:32:30] {'temperature': 21.87, 'altitude': -0.55, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.076, 'y': 0.05900001, 'x': 0.156}}
[03/Mar/2026 19:32:31] {'temperature': 21.89, 'altitude': -0.67, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.02, 'y': 0.058, 'x': 0.23}}
[03/Mar/2026 19:32:32] {'temperature': 21.93, 'altitude': -0.53, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.131, 'y': 0.172, 'x': 0.023}}
[03/Mar/2026 19:32:33] {'temperature': 21.96, 'altitude': -0.19, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.018, 'y': 0.067, 'x': -0.008000001}}
[03/Mar/2026 19:32:34] {'temperature': 21.98, 'altitude': 0.27, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.029, 'y': 0.032, 'x': 0.001}}
[03/Mar/2026 19:32:35] {'temperature': 22.02, 'altitude': -0.16, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.166, 'y': 0.074, 'x': 0.147}}
[03/Mar/2026 19:32:37] {'temperature': 22.07, 'altitude': -0.89, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.061, 'y': 0.058, 'x': 0.103}}
[03/Mar/2026 19:32:38] {'temperature': 22.1, 'altitude': -1.07, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.083, 'y': 0.033, 'x': 0.15}}
[03/Mar/2026 19:32:39] {'temperature': 22.1, 'altitude': -0.19, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.095, 'y': 0.022, 'x': 0.161}}
[03/Mar/2026 19:32:40] {'temperature': 22.12, 'altitude': -0.99, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.086, 'y': 0.027, 'x': 0.158}}
[03/Mar/2026 19:32:41] {'temperature': 22.13, 'altitude': -1.12, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.085, 'y': 0.02, 'x': 0.16}}
[03/Mar/2026 19:32:42] {'temperature': 22.15, 'altitude': -1.21, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.087, 'y': 0.026, 'x': 0.158}}
[03/Mar/2026 19:32:43] {'temperature': 22.17, 'altitude': -1.49, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.083, 'y': 0.02, 'x': 0.165}}
[03/Mar/2026 19:32:44] {'temperature': 22.19, 'altitude': -1.29, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.083, 'y': 0.021, 'x': 0.161}}
[03/Mar/2026 19:32:50] {'temperature': 22.27, 'altitude': -0.52, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.1, 'y': -0.007, 'x': 0.155}}
[03/Mar/2026 19:32:51] {'temperature': 22.29, 'altitude': -0.12, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.08, 'y': 0, 'x': 0.152}}
[03/Mar/2026 19:32:52] {'temperature': 22.31, 'altitude': -0.4, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.09, 'y': -0.023, 'x': 0.183}}
[03/Mar/2026 19:32:53] {'temperature': 22.33, 'altitude': -0.13, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.074, 'y': 0.003, 'x': 0.155}}
[03/Mar/2026 19:32:54] {'temperature': 22.36, 'altitude': -0.28, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.083, 'y': -0.003, 'x': 0.156}}
[03/Mar/2026 19:32:55] {'temperature': 22.37, 'altitude': -0.23, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.088, 'y': 0, 'x': 0.15}}
[03/Mar/2026 19:32:56] {'temperature': 22.39, 'altitude': -0.11, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.09, 'y': -0.004, 'x': 0.147}}
[03/Mar/2026 19:33:04] {'temperature': 22.53, 'altitude': -0.52, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.084, 'y': 0.002, 'x': 0.15}}
[03/Mar/2026 19:33:05] {'temperature': 22.54, 'altitude': -0.18, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.083, 'y': 0.015, 'x': 0.162}}
[03/Mar/2026 19:33:06] {'temperature': 22.55, 'altitude': 0.09, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.086, 'y': 0.001, 'x': 0.151}}
[03/Mar/2026 19:33:07] {'temperature': 22.57, 'altitude': -0.55, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.089, 'y': -0.003, 'x': 0.153}}
