[21/Dec/2025 11:31:32] {'temperature': 25.77, 'altitude': -1.65, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.095, 'y': 0.017, 'x': 0.041}}
[21/Dec/2025 11:31:34] {'temperature': 25.92, 'altitude': -2.86, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.098, 'y': 0.019, 'x': 0.043}}
[21/Dec/2025 11:31:36] {'temperature': 26.05, 'altitude': -0.5, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.091, 'y': 0.011, 'x': 0.047}}
[21/Dec/2025 11:31:38] {'temperature': 26.19, 'altitude': -0.75, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.092, 'y': 0.02, 'x': 0.047}}
[21/Dec/2025 11:31:41] {'temperature': 26.31, 'altitude': -0.16, 'voltage': 0, 'latitude': 38.83587, 'longitude': -77.40506, 'acceleration': {'z': 1.077, 'y': 0.024, 'x': 0.044}}
[21/Dec/2025 11:31:43] {'temperature': 26.44, 'altitude': 0.56, 'voltage': 0, 'latitude': 38.83588, 'longitude': -77.40507, 'acceleration': {'z': 1.092, 'y': 0.026, 'x': 0.045}}
[21/Dec/2025 11:31:45] {'temperature': 26.57, 'altitude': 0.4, 'voltage': 0, 'latitude': 38.83588, 'longitude': -77.40508, 'acceleration': {'z': 1.089, 'y': 0.016, 'x': 0.052}}
[21/Dec/2025 11:31:52] {'temperature': 26.92, 'altitude': 0.43, 'voltage': 0, 'latitude': 38.83589, 'longitude': -77.40508, 'acceleration': {'z': 1.088, 'y': 0.02, 'x': 0.046}}
[21/Dec/2025 11:31:54] {'temperature': 27.02, 'altitude': 0.07, 'voltage': 0, 'latitude': 38.83589, 'longitude': -77.40508, 'acceleration': {'z': 1.092, 'y': 0.019, 'x': 0.051}}
[21/Dec/2025 11:31:56] {'temperature': 27.15, 'altitude': -0.85, 'voltage': 0, 'latitude': 38.83588, 'longitude': -77.40508, 'acceleration': {'z': 1.099, 'y': 0.022, 'x': 0.04}}
[21/Dec/2025 11:31:59] {'temperature': 27.26, 'altitude': -0.52, 'voltage': 0, 'latitude': 38.83588, 'longitude': -77.40508, 'acceleration': {'z': 1.092, 'y': 0.017, 'x': 0.045}}
[21/Dec/2025 11:32:01] {'temperature': 27.36, 'altitude': 0.76, 'voltage': 0, 'latitude': 38.83588, 'longitude': -77.40508, 'acceleration': {'z': 1.094, 'y': 0.018, 'x': 0.05}}
[21/Dec/2025 11:32:03] {'temperature': 27.46, 'altitude': 1.47, 'voltage': 0, 'latitude': 38.83588, 'longitude': -77.40508, 'acceleration': {'z': 1.089, 'y': 0.011, 'x': 0.042}}
[21/Dec/2025 11:32:13] {'temperature': 27.71, 'altitude': 1.41, 'voltage': 0, 'latitude': 38.83586, 'longitude': -77.40508, 'acceleration': {'z': 1.099, 'y': 0.018, 'x': 0.041}}
[21/Dec/2025 11:32:15] {'temperature': 27.81, 'altitude': 0.67, 'voltage': 0, 'latitude': 38.83586, 'longitude': -77.40508, 'acceleration': {'z': 1.101, 'y': 0.022, 'x': 0.044}}
